TradeID,Trader,Broker,Symbol,AccountID,AccountSize,StartegyName,Profile,Entry Type,Exit Type,Start Date,End Date,Trade Duration(m),Start Price,End Price,Contracts,Position size,Margin,Commission,Profit,Drawdown,Drawdown %,Run-up,Run-up %
Incubation7BinanceB002BTCUSDT45012.7726758.31,Algo,Binance,BTCUSDT,B002,100208.4,ReversalPnF,Incubation7,Long,Profit Target,27/03/2023 18:13,27/03/2023 18:26,12.54,26758.3,26966.7,1000,26758.3,26000000,21.49,197.69,-23.9,-2.39,124.8,12.48
Incubation7BinanceB002BTCUSDT45012.7926838.00,Algo,Binance,BTCUSDT,B002,100218,ReversalPnF,Incubation7,Long,Profit Target,27/03/2023 18:37,27/03/2023 18:55,17.79,26838,27070.3,81,2173.88,2106000,1.75,17.94,-10.92,-0.5,-10.52,-0.48
Incubation7BinanceB002BTCUSDT45012.7726758.30,Algo,Binance,BTCUSDT,B002,100208.4,ReversalPnF,Incubation7,Long,Profit Target,27/03/2023 19:13,28/03/2023 04:26,540,26758.3,26966.7,1000,26758.3,26000000,21.49,197.69,-23.9,-2.39,124.8,12.48
XYZ123539,Algo,IB,MNQM3,U11432757,1053.5,ReversalPnF,Live,Short,Profit Target,16/03/2023 18:10,16/03/2023 18:10,0,12613.5,12603.5,1,25227,3000,2.5,15,-2.5,Null,17.5,Null
XYZ123551,Algo,IB,MNQM3,U11432757,1068.5,ReversalPnF,Live,Long,Profit Target,16/03/2023 18:20,16/03/2023 18:20,0,11964.5,12009,1,23929,3000,2.5,89,Null,Null,Null,Null
XYZ123540,Algo,IB,MNQM3,U11432757,1157.5,ReversalPnF,Live,Short,Profit Target,16/03/2023 18:50,16/03/2023 18:50,0,12658.75,12648.75,1,25317.5,3000,2.5,15,-2.5,Null,88,Null
XYZ123552,Algo,IB,MNQM3,U11432757,1172.5,ReversalPnF,Live,Long,Manual,16/03/2023 18:50,16/03/2023 18:50,0,11962.25,11958.75,1,23924.5,3000,2.5,-7,Null,Null,Null,Null
XYZ123546,Algo,IB,MNQM3,U11432757,1165.5,ReversalPnF,Live,Short,Profit Target,16/03/2023 19:20,16/03/2023 19:20,0,11874.25,11864.25,1,23748.5,3000,2.5,20,Null,Null,Null,Null
XYZ123541,Algo,IB,MNQM3,U11432757,1185.5,ReversalPnF,Live,Long,Profit Target,16/03/2023 21:50,16/03/2023 21:50,0,12691.5,12701.5,1,25383,3000,2.5,15,-158.5,Null,17.5,Null
XYZ123553,Algo,IB,MNQM3,U11432757,1200.5,ReversalPnF,Live,Short,Manual,16/03/2023 21:50,16/03/2023 21:50,0,12184.5,12195.25,1,24369,3000,2.5,-21.5,Null,Null,Null,Null
XYZ12354299,Algo,IB,MNQM3,U11432757,1179,ReversalPnF,Live,Long,Stop Loss,17/03/2023 14:00,17/03/2023 14:00,50,12736.75,12661.75,1,25473.5,3000,2.5,-155,-152.5,Null,8.5,Null
XYZ123547,Algo,IB,MNQM3,U11432757,1024,ReversalPnF,Live,Short,Profit Target,17/03/2023 14:50,17/03/2023 14:50,0,12056.25,12042.75,1,24112.5,3000,2.5,27,Null,Null,Null,Null
XYZ123554,Algo,IB,MNQM3,U11432757,1051,ReversalPnF,Live,Long,Profit Target,17/03/2023 14:50,17/03/2023 14:50,0,12112.25,12122.25,1,24224.5,3000,2.5,20,Null,Null,Null,Null
XYZ123542,Algo,IB,MNQM3,U11432757,1071,ReversalPnF,Live,Long,Profit Target,17/03/2023 15:10,17/03/2023 15:10,10,12702.25,12712.25,1,25404.5,3000,2.5,15,-19.5,Null,17.5,Null
XYZ123555,Algo,IB,MNQM3,U11432757,1086,ReversalPnF,Live,Long,Profit Target,17/03/2023 15:20,17/03/2023 15:20,0,12047.25,12057.25,1,24094.5,3000,2.5,20,Null,Null,Null,Null
XYZ123548,Algo,IB,MNQM3,U11432757,1106,ReversalPnF,Live,Short,Manual,17/03/2023 15:30,17/03/2023 15:30,0,12022.75,12026,1,24045.5,3000,2.5,-6.5,Null,Null,Null,Null
XYZ123556,Algo,IB,MNQM3,U11432757,1099.5,ReversalPnF,Live,Long,Profit Target,17/03/2023 16:20,17/03/2023 16:20,0,12026.25,12035.5,1,24052.5,3000,2.5,18.5,Null,Null,Null,Null
XYZ123549,Algo,IB,MNQM3,U11432757,1118,ReversalPnF,Live,Long,Manual,17/03/2023 18:30,17/03/2023 18:30,0,12029,12024.25,1,24058,3000,2.5,-9.5,Null,Null,Null,Null
XYZ123557,Algo,IB,MNQM3,U11432757,1108.5,ReversalPnF,Live,Short,Manual,17/03/2023 18:30,17/03/2023 18:30,0,12042,12042.75,1,24084,3000,2.5,-1.5,Null,Null,Null,Null
